Source,Scenario,Year,Demand
FES 2023,Consumer Transformation,2010,346190.0
FES 2023,Consumer Transformation,2011,346488.0
FES 2023,Consumer Transformation,2012,345740.0
FES 2023,Consumer Transformation,2013,341287.0
FES 2023,Consumer Transformation,2014,333502.0
FES 2023,Consumer Transformation,2015,329348.0
FES 2023,Consumer Transformation,2016,321882.0
FES 2023,Consumer Transformation,2017,317125.0
FES 2023,Consumer Transformation,2018,311118.0
FES 2023,Consumer Transformation,2019,307247.0
FES 2023,Consumer Transformation,2020,286689.0
FES 2023,Consumer Transformation,2021,294569.0
FES 2023,Consumer Transformation,2022,286458.0
FES 2023,Consumer Transformation,2023,272749.0
FES 2023,Consumer Transformation,2024,273659.0
FES 2023,Consumer Transformation,2025,281583.0
FES 2023,Consumer Transformation,2026,290432.0
FES 2023,Consumer Transformation,2027,300964.0
FES 2023,Consumer Transformation,2028,312478.0
FES 2023,Consumer Transformation,2029,326752.0
FES 2023,Consumer Transformation,2030,344369.0
FES 2023,Consumer Transformation,2031,363817.0
FES 2023,Consumer Transformation,2032,387933.0
FES 2023,Consumer Transformation,2033,413801.0
FES 2023,Consumer Transformation,2034,440956.0
FES 2023,Consumer Transformation,2035,466986.0
FES 2023,Consumer Transformation,2036,494155.0
FES 2023,Consumer Transformation,2037,519887.0
FES 2023,Consumer Transformation,2038,540990.0
FES 2023,Consumer Transformation,2039,560984.0
FES 2023,Consumer Transformation,2040,581461.0
FES 2023,Consumer Transformation,2041,609235.0
FES 2023,Consumer Transformation,2042,630653.0
FES 2023,Consumer Transformation,2043,647066.0
FES 2023,Consumer Transformation,2044,663088.0
FES 2023,Consumer Transformation,2045,675257.0
FES 2023,Consumer Transformation,2046,687903.0
FES 2023,Consumer Transformation,2047,698489.0
FES 2023,Consumer Transformation,2048,709582.0
FES 2023,Consumer Transformation,2049,718720.0
FES 2023,Consumer Transformation,2050,725534.0
FES 2023,Falling Short,2010,346190.0
FES 2023,Falling Short,2011,346488.0
FES 2023,Falling Short,2012,345740.0
FES 2023,Falling Short,2013,341287.0
FES 2023,Falling Short,2014,333502.0
FES 2023,Falling Short,2015,329348.0
FES 2023,Falling Short,2016,321882.0
FES 2023,Falling Short,2017,317125.0
FES 2023,Falling Short,2018,311118.0
FES 2023,Falling Short,2019,307247.0
FES 2023,Falling Short,2020,286689.0
FES 2023,Falling Short,2021,294569.0
FES 2023,Falling Short,2022,286458.0
FES 2023,Falling Short,2023,296554.0
FES 2023,Falling Short,2024,299953.0
FES 2023,Falling Short,2025,303819.0
FES 2023,Falling Short,2026,306740.0
FES 2023,Falling Short,2027,310388.0
FES 2023,Falling Short,2028,314154.0
FES 2023,Falling Short,2029,319322.0
FES 2023,Falling Short,2030,325951.0
FES 2023,Falling Short,2031,333324.0
FES 2023,Falling Short,2032,341754.0
FES 2023,Falling Short,2033,351591.0
FES 2023,Falling Short,2034,361797.0
FES 2023,Falling Short,2035,372614.0
FES 2023,Falling Short,2036,384651.0
FES 2023,Falling Short,2037,397396.0
FES 2023,Falling Short,2038,410896.0
FES 2023,Falling Short,2039,425074.0
FES 2023,Falling Short,2040,440119.0
FES 2023,Falling Short,2041,455716.0
FES 2023,Falling Short,2042,470684.0
FES 2023,Falling Short,2043,485478.0
FES 2023,Falling Short,2044,499649.0
FES 2023,Falling Short,2045,513283.0
FES 2023,Falling Short,2046,525537.0
FES 2023,Falling Short,2047,537605.0
FES 2023,Falling Short,2048,547848.0
FES 2023,Falling Short,2049,558897.0
FES 2023,Falling Short,2050,569721.0
FES 2023,Five Year Forecast,2010,346190.0
FES 2023,Five Year Forecast,2011,346488.0
FES 2023,Five Year Forecast,2012,345740.0
FES 2023,Five Year Forecast,2013,341287.0
FES 2023,Five Year Forecast,2014,333502.0
FES 2023,Five Year Forecast,2015,329348.0
FES 2023,Five Year Forecast,2016,321882.0
FES 2023,Five Year Forecast,2017,317125.0
FES 2023,Five Year Forecast,2018,311118.0
FES 2023,Five Year Forecast,2019,307247.0
FES 2023,Five Year Forecast,2020,286689.0
FES 2023,Five Year Forecast,2021,294569.0
FES 2023,Five Year Forecast,2022,286458.0
FES 2023,Five Year Forecast,2023,283279.0
FES 2023,Five Year Forecast,2024,282999.0
FES 2023,Five Year Forecast,2025,288615.0
FES 2023,Five Year Forecast,2026,295668.0
FES 2023,Five Year Forecast,2027,302029.0
FES 2023,Five Year Forecast,2028,310259.0
FES 2023,Leading the Way,2010,346190.0
FES 2023,Leading the Way,2011,346488.0
FES 2023,Leading the Way,2012,345740.0
FES 2023,Leading the Way,2013,341287.0
FES 2023,Leading the Way,2014,333502.0
FES 2023,Leading the Way,2015,329348.0
FES 2023,Leading the Way,2016,321882.0
FES 2023,Leading the Way,2017,317125.0
FES 2023,Leading the Way,2018,311118.0
FES 2023,Leading the Way,2019,307247.0
FES 2023,Leading the Way,2020,286689.0
FES 2023,Leading the Way,2021,294569.0
FES 2023,Leading the Way,2022,286458.0
FES 2023,Leading the Way,2023,269888.0
FES 2023,Leading the Way,2024,267246.0
FES 2023,Leading the Way,2025,275521.0
