Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,GBFES System Demand: Total,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],292030,298376,285919,284600,285162,288827,292297,299113,309742,318757,332099,344401,360458,379955,399094,422101,442760,465332,482108,504900,520563,541108,560779,582832,592455,610315,632185,647075,650148,665564,671312
1,GBFES System Demand: Total,GWh,Electric Engagement,Electricity,Annual [Fiscal],292030,298376,285919,284609,283307,285925,290498,295774,304217,313700,327803,342318,360350,383048,404616,424998,451325,478751,503101,527019,550284,578703,604316,629954,651787,664012,674103,684182,692312,699056,700394
1,GBFES System Demand: Total,GWh,Counterfactual,Electricity,Annual [Fiscal],292030,298376,285919,284597,288988,291485,293591,296653,300668,305666,311374,317792,325137,333589,342213,350855,360426,372376,384033,395865,409023,422950,435594,447928,461468,474828,485532,495844,507615,521551,532548
1,GBFES System Demand: Total,GWh,Holistic Transition,Electricity,Annual [Fiscal],292030,298376,285919,284609,282008,285115,289958,297453,308237,317050,333629,347913,363930,379592,400357,419435,438885,460247,480101,504313,522967,547604,563592,586832,609183,621888,638720,649249,657426,667060,667219
1,GBFES System Demand: Total,GWh,Five Year Forecast,Electricity,Annual [Fiscal],292030,298376,285919,284609,285685,290241,294380,301290,308095,316738,,,,,,,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Commercial with Micro-generation Included,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],81655,83772,82381,83178,85670,87699,90365,93827,97309,101471,106280,111702,117664,123947,130325,137110,143890,150804,157758,164598,171014,176915,182414,187464,190257,192696,194780,196648,198513,200396,202296
2,GBFES Customer Demand: Commercial with Micro-generation Included,GWh,Electric Engagement,Electricity,Annual [Fiscal],81655,83772,82381,83178,85395,88236,91713,95407,100339,106277,112794,119593,127143,135081,143109,151581,160629,170064,179811,189735,199028,207703,214592,220259,225436,229701,233520,237028,239313,241604,243953
2,GBFES Customer Demand: Commercial with Micro-generation Included,GWh,Counterfactual,Electricity,Annual [Fiscal],81655,83772,82381,83178,86225,87607,89067,91107,93396,96041,99074,102417,106122,110429,114803,119341,124177,129206,134442,139883,145800,151941,157848,163802,169881,176536,181382,185990,190687,195352,199938
2,GBFES Customer Demand: Commercial with Micro-generation Included,GWh,Holistic Transition,Electricity,Annual [Fiscal],81655,83772,82381,83178,85780,89387,93755,98302,103456,109344,115740,122384,129798,137681,145673,153874,162209,170824,179593,188711,196655,203202,209130,214635,219694,224013,227915,231479,234676,236526,238157
2,GBFES Customer Demand: Commercial with Micro-generation Included,GWh,Five Year Forecast,Electricity,Annual [Fiscal],81655,83772,82381,83178,85973,88140,91228,95350,99473,104330,,,,,,,,,,,,,,,,,,,,,
